Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
005930.KS,KR7005930003,삼성전자,KOSPI,,73000,2,-800,-1.08,73700,73700,72800,7298877,534326372400,435794126150000,5969782550,STK
000660.KS,KR7000660001,SK하이닉스,KOSPI,,147600,2,-3700,-2.45,150300,151100,147500,1634010,243813340200,107453149074000,728002365,STK
373220.KS,KR7373220003,LG에너지솔루션,KOSPI,,400000,1,2500,0.63,397500,401000,392000,81984,32548250000,93600000000000,234000000,STK
207940.KS,KR7207940008,삼성바이오로직스,KOSPI,,815000,2,-6000,-0.73,819000,824000,815000,31251,25602248000,58006810000000,71174000,STK
005935.KS,KR7005931001,삼성전자우,KOSPI,,62400,2,-100,-0.16,62800,62800,62200,416433,26027579600,51348130080000,822886700,STK
005380.KS,KR7005380001,현대차,KOSPI,,242000,2,-10500,-4.16,250000,253000,241500,1107531,272470066500,51190624452000,211531506,STK
000270.KS,KR7000270009,기아,KOSPI,,114200,2,-3400,-2.89,115600,118700,114200,1021920,119095065500,45913447982600,402044203,STK
068270.KS,KR7068270008,셀트리온,KOSPI,,180400,2,-2000,-1.1,182500,183000,180200,220337,39910215200,39336177064800,218049762,STK
005490.KS,KR7005490008,POSCO홀딩스,KOSPI,,438000,2,-6500,-1.46,443000,443000,433500,310992,136026825000,37042198740000,84571230,STK
051910.KS,KR7051910008,LG화학,KOSPI,,504000,2,-4000,-0.79,507000,507000,491500,179087,89395903000,35578540872000,70592343,STK
035420.KS,KR7035420009,NAVER,KOSPI,,202500,2,-1000,-0.49,203500,205500,202500,396084,80777070000,32887740285000,162408594,STK
028260.KS,KR7028260008,삼성물산,KOSPI,,164600,2,-5800,-3.4,170300,171000,164000,448918,74954661000,30548388882000,185591670,STK
006400.KS,KR7006400006,삼성SDI,KOSPI,,393000,2,-1500,-0.38,394000,396000,386000,149282,58277512500,27024460290000,68764530,STK
105560.KS,KR7105560007,KB금융,KOSPI,,66400,2,-2400,-3.49,69000,69300,65900,804792,54107418900,26793135180800,403511072,STK
035720.KS,KR7035720002,카카오,KOSPI,,58800,1,600,1.03,57900,60000,57800,1474623,87210266200,26165946315600,444999087,STK
003670.KS,KR7003670007,포스코퓨처엠,KOSPI,,300000,1,3500,1.18,292000,303500,286000,417499,122886700000,23238966000000,77463220,STK
012330.KS,KR7012330007,현대모비스,KOSPI,,239500,2,-4500,-1.84,244000,246000,238500,192005,46629271500,22430395013000,93655094,STK
055550.KS,KR7055550008,신한지주,KOSPI,,42950,2,-2100,-4.66,45100,45150,42750,1196342,52333211800,22023019279450,512759471,STK
032830.KS,KR7032830002,삼성생명,KOSPI,,82900,2,-2100,-2.47,85000,85700,82100,294011,24606475100,16580000000000,200000000,STK
086790.KS,KR7086790003,하나금융지주,KOSPI,,56100,2,-2800,-4.75,59500,59500,56000,1022355,58879869460,16401205147800,292356598,STK
